n,SGD,Bayes,split
135,1.8858372,1.5172282400000001,2.48838112
136,1.8847775,1.51913409,2.49752507
137,1.88365998,1.5139428000000001,2.5088151599999997
138,1.88273554,1.5201415299999999,2.52253725
139,1.881887,1.5243423999999999,2.5297818
140,1.88125302,1.53040413,2.54438448
141,1.8806266999999999,1.52747128,2.54399248
142,1.88002815,1.52443291,2.5498044
143,1.879416,1.52495856,2.09385648
144,1.8788244500000002,1.5243067,2.09992335
145,1.8782169999999998,1.52104114,2.10388336
146,1.8775222200000001,1.52030781,2.1094749900000003
147,1.87697892,1.5235934,2.1133171600000002
148,1.8763406100000002,1.5208266099999999,2.11696667
149,1.8757005000000002,1.522359,2.1186884999999998
150,1.87505911,1.52081462,2.11971686
151,1.8743910400000001,1.51950904,2.12485664
152,1.8736961399999998,1.5189488100000001,2.12794389
153,1.87290642,1.51684148,2.13598
154,1.8721799000000001,1.51949135,2.1385691000000002
155,1.87143996,1.51933236,2.14035432
156,1.87073193,1.52318574,2.1475402000000003
157,1.8700390199999999,1.5241549,2.1501967200000003
158,1.8693168900000001,1.5196933799999999,2.15027625
159,1.8685904,1.5186208,2.1524368
160,1.8678431100000001,1.51869851,2.15668033
161,1.86720876,1.5204186,2.16216702
162,1.8665276700000002,1.52025862,2.16570765
163,1.86591984,1.5206408,2.16840472
164,1.8653200499999998,1.5190626,2.1737694
165,1.8646614000000001,1.5184401799999998,2.17768428
166,1.86406402,1.51905371,2.18186836
167,1.86353832,1.52119632,2.18773968
168,1.86299854,1.52129406,2.1936977399999997
169,1.8622547999999999,1.5187783,2.196264
170,1.86140511,1.51373475,2.19667455
171,1.8605446399999999,1.51415384,2.2042608400000003
172,1.85967561,1.5127258399999999,2.21008884
173,1.85884722,1.5165753,2.21825988
174,1.85787525,1.51297475,1.97048075
175,1.85688976,1.51099344,1.97558416
176,1.8559087200000002,1.50959052,1.98014502
177,1.8549468999999998,1.50918724,1.98148888
178,1.85408916,1.50916153,1.9827239300000001
179,1.8532908,1.5098796,1.9809612
180,1.85250604,1.5122658599999999,1.9869727499999998
181,1.85174626,1.5107328599999998,1.99118556
182,1.8509352000000001,1.5087343500000001,1.99299078
183,1.85021568,1.5106694399999998,1.9970164
184,1.8493821,1.50646425,1.9964034499999999
185,1.84853496,1.5069255,1.99761768
186,1.84761984,1.50584742,1.9990543100000002
187,1.84672776,1.5076565999999998,2.00185408
188,1.84584015,1.5074526600000002,2.00522763
189,1.8449589,1.5089856999999998,2.0084881
190,1.84411455,1.51072023,2.0141523
191,1.84328448,1.50972288,2.018304
192,1.84245906,1.5089319,2.0235278
193,1.8416226,1.50624122,2.02761622
194,1.840683,1.50527325,2.0322588
195,1.8397814399999999,1.50338076,2.03282968
196,1.83890438,1.5038192,2.03840037
197,1.83801618,1.50514848,2.0403998999999997
198,1.8372077999999998,1.5066091000000001,2.04210815
